time (seconds),encoderLeft (meters),encoderRight (meters)
75.052,-0.0008630600059404969,-0.0009609352564439178
75.052,-0.0008641976164653897,-0.0009622078505344689
75.052,-0.0008653924451209605,-0.0009635320166125894
75.052,-0.0008665624191053212,-0.0009648316190578043
75.052,-0.0008677049190737307,-0.0009661091607995331
75.101,-0.0008689038804732263,-0.0009674369357526302
75.197,-0.0008700221078470349,-0.0009686865378171206
75.297,-0.0008711811387911439,-0.0009699759539216757
75.399,-0.0008723068749532104,-0.0009712338214740157
75.495,-0.0008735014125704765,-0.0009725585696287453
75.6,-0.0008746273815631866,-0.0009738171938806772
75.703,-0.0008758084732107818,-0.0009751275647431612
75.802,-0.0008769776322878897,-0.0009764261194504797
75.902,-0.0008781410288065672,-0.0009777232771739364
75.999,-0.000879329745657742,-0.000979041215032339
76.102,-0.0008804341196082532,-0.0009802781278267503
76.198,-0.0008816092158667743,-0.0009815836092457175
76.302,-0.0008827643468976021,-0.0009828679030761123
76.396,-0.0008839551010169089,-0.0009841913124546409
76.499,-0.000885119428858161,-0.0009854858508333564
76.601,-0.0008862970280461013,-0.0009867941262200475
76.693,-0.0008874352206476033,-0.0009880634024739265
76.78,-0.0008886138675734401,-0.0009893733076751232
76.898,-0.0008897614316083491,-0.0009906506165862083
76.998,-0.0008909481111913919,-0.000991967273876071
77.099,-0.0008921048138290644,-0.0009932593675330281
77.203,-0.0008932864875532687,-0.000994569854810834
77.301,-0.0008944292785599828,-0.0009958476293832064
77.399,-0.0008956044330261648,-0.0009971545077860355
77.496,-0.0008967543253675103,-0.0009984348434954882
77.6,-0.0008979418780654669,-0.0009997511515393853
77.701,-0.0008990718051791191,-0.0010010123951360583
77.796,-0.0009002539445646107,-0.0010023261420428753
77.898,-0.0009013852686621249,-0.0010035884333774447
78.001,-0.0009025401086546481,-0.0010048741241917014
78.1,-0.0009037037962116301,-0.0010061693610623479
78.201,-0.0009048513020388782,-0.0010074472520500422
78.3,-0.0009060187730938196,-0.0010087485425174236
78.401,-0.0009071847307495773,-0.001010046573355794
78.498,-0.0009083434124477208,-0.0010113356402143836
78.598,-0.0009095191489905119,-0.0010126414708793163
78.701,-0.0009106754441745579,-0.0010139311198145151
78.793,-0.0009118610178120434,-0.0010152459144592285
78.903,-0.0009129766840487719,-0.0010164949344471097
78.996,-0.0009141676709987223,-0.001017814502120018
79.111,-0.0009153200080618262,-0.001019097282551229
79.196,-0.0009164665243588388,-0.0010203755227848887
79.302,-0.000917640165425837,-0.001021681004203856
79.398,-0.0009187573450617492,-0.001022928743623197
79.5,-0.0009199389023706317,-0.001024241908453405
79.6,-0.0009210777934640646,-0.0010255107190459967
79.699,-0.0009222752414643764,-0.0010268420446664095
79.796,-0.000923441257327795,-0.0010281394934281707
79.892,-0.0009246045374311507,-0.00102943682577461
80,-0.0009257844649255276,-0.0010307477787137032
80.1,-0.0009269575239159167,-0.0010320489527657628
80.202,-0.00092813849914819,-0.0010333624668419361
80.298,-0.000929265224840492,-0.0010346221970394254
80.396,-0.0009304813574999571,-0.0010359694715589285
80.516,-0.0009316123323515058,-0.0010372332762926817
80.599,-0.000932749011553824,-0.0010385022033005953
80.7,-0.0009339429088868201,-0.0010398250306025147
80.793,-0.0009350969921797514,-0.0010411100229248405
80.893,-0.0009362433920614421,-0.0010423872154206038
80.999,-0.0009374094661325216,-0.001043685362674296
